Iteration,Timestep,FromStratumID,FromSecondaryStratumID,FromTertiaryStratumID,FromStateClassID,FromAgeMin,FromStockTypeID,ToStratumID,ToStateClassID,ToAgeMin,ToStockTypeID,TransitionGroupID,StateAttributeTypeID,FlowTypeID,TargetType,Multiplier,TransferToStratumID,TransferToSecondaryStratumID,TransferToTertiaryStratumID,TransferToStateClassID,TransferToAgeMin
,,,,,Forest:All,,DOM: Snag Branch,,,,DOM: Aboveground Slow,,,Decay: Snag Branch -> AG Slow,,1.0,,,,,
,,,,,Forest:All,,DOM: Snag Stem,,,,Atmosphere,,,Emission: Snag Stem -> Atmosphere,,1.0,,,,,
,,,,,Forest:All,,DOM: Snag Stem,,,,DOM: Aboveground Medium,,,Transfer: Snag Stem -> AG Medium,,1.0,,,,,
,,,,,Forest:All,,DOM: Snag Stem,,,,DOM: Aboveground Slow,,,Decay: Snag Stem -> AG Slow,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,Atmosphere,,,,Biomass: Coarse Root,,NPP,Net Growth Wetland Forested: Atmosphere -> Coarse Roots,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,Atmosphere,,,,Biomass: Fine Root,,NPP,Net Growth Wetland Forested: Atmosphere -> Fine Roots,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,Atmosphere,,,,Biomass: Foliage,,NPP,Net Growth Wetland Forested: Atmosphere -> Foliage,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,Atmosphere,,,,Biomass: Merchantable,,NPP,Net Growth Wetland Forested: Atmosphere -> Merchantable,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,Atmosphere,,,,Biomass: Other Wood,,NPP,Net Growth Wetland Forested: Atmosphere -> Other Wood,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,Biomass: Coarse Root,,,,DOM: Aboveground Fast,,,Biomass Turnover: Coarse Roots -> AG Fast,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,Biomass: Coarse Root,,,,DOM: Belowground Fast,,,Biomass Turnover: Coarse Roots -> BG Fast,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,Biomass: Fine Root,,,,DOM: Aboveground Very Fast,,,Biomass Turnover: Fine Roots -> AG Very Fast,,1.0,,,,,
,,,,,Wetland:Palustrine Forested,,Biomass: Fine Root,,,,DOM: Belowground Very Fast,,,Biomass Turnover: Fine Roots -> BG Very Fast,,1.0,,,,,
